column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
kumo/circusactenv-t4-a6-v1-s1,16,0,0.0,0.925,0.21065374432940898,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.21065374432940898,0,0
kumo/cloudenv-t4-a6-v1-s0,16,0,0.0,0.8625,0.220439901106855,1.0,0.8,1.0,0.2,1.0,identity,1.0,0.19999999999999996,0,0
kumo/cloudenv-t4-a6-v1-s1,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/coffeeenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.13635890143294643,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13635890143294643,0,0
kumo/coffeeenv-t4-a6-v1-s1,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/computationenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.15360257159305635,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15360257159305635,0,0
kumo/computationenv-t4-a6-v1-s1,16,0,0.0,0.95,0.13228756555322954,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13228756555322954,0,0
kumo/controlenv-t4-a6-v1-s0,16,0,0.0,0.925,0.24366985862022408,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.24366985862022408,0,0
kumo/controlenv-t4-a6-v1-s1,16,0,0.0,0.9125,0.2117634293262177,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.2117634293262177,0,0
kumo/cookingenv-t4-a6-v1-s0,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/cookingenv-t4-a6-v1-s1,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/craftsmanenv-t4-a6-v1-s0,16,0,0.0,0.975,0.09682458365518543,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.09682458365518543,0,0
kumo/craftsmanenv-t4-a6-v1-s1,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/cryptographyenv-t4-a6-v1-s0,16,0,0.0,0.95,0.11180339887498948,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.11180339887498948,0,0
kumo/cryptographyenv-t4-a6-v1-s1,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/cuisineenv-t4-a6-v1-s0,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/cuisineenv-t4-a6-v1-s1,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/currencyenv-t4-a6-v1-s0,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/currencyenv-t4-a6-v1-s1,16,0,0.0,0.825,0.22220486043288973,0.9,0.8,1.0,0.4,1.0,identity,0.9,0.19999999999999996,0,0
kumo/demographicenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.13635890143294643,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13635890143294643,0,0
kumo/demographicenv-t4-a6-v1-s1,16,0,0.0,0.9625,0.14523687548277814,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.14523687548277814,0,0
kumo/detectiveenv-t4-a6-v1-s0,16,0,0.0,0.8875,0.24462982238476158,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.24462982238476158,0,0
kumo/detectiveenv-t4-a6-v1-s1,16,0,0.0,0.9375,0.16909686573085855,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.16909686573085855,0,0
kumo/ecologicalenv-t4-a6-v1-s0,16,0,0.0,0.95,0.15,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15,0,0
kumo/ecologicalenv-t4-a6-v1-s1,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
kumo/economicenv-t4-a6-v1-s0,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/economicenv-t4-a6-v1-s1,16,0,0.0,0.9125,0.186664806538351,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.186664806538351,0,0
kumo/educationenv-t12-a16-v1-s0,16,0,0.0,0.7374999999999999,0.35155902776063086,1.0,0.4,1.0,0.0,1.0,identity,1.0,0.6,0,0
kumo/educationenv-t12-a16-v1-s1,16,0,0.0,0.6125,0.40291903653215494,0.7,0.2,1.0,0.0,1.0,identity,0.7,0.8,0,0
kumo/educationenv-t4-a6-v1-s0,16,0,0.0,0.6625000000000001,0.35859970719452633,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
kumo/educationenv-t4-a6-v1-s1,16,0,0.0,0.7625,0.3179524335494226,1.0,0.55,1.0,0.2,1.0,identity,1.0,0.44999999999999996,0,0
kumo/energyenv-t4-a6-v1-s0,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/energyenv-t4-a6-v1-s1,16,0,0.0,0.925,0.1984313483298443,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1984313483298443,0,0
kumo/enzymeenv-t4-a6-v1-s0,16,0,0.0,0.025,0.06614378277661477,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.06614378277661477,0,0
